ftype,fcode,hydrographic_status,permanent_identifier,gnis_name,gnis_id,fdate,elevation,reachcode,county,area_ha,area_km2
390 (Lake/Pond),39004,Perennial,62589104,NA,NA,2002-11-27T00:00:00Z,NA,02080205005151,Henrico,1.64,0.02
390 (Lake/Pond),39004,Perennial,62589694,NA,NA,2002-11-27T00:00:00Z,NA,02080205001602,Chesterfield,1.64,0.02
390 (Lake/Pond),39004,Perennial,62589530,NA,NA,2012-05-30T00:00:00Z,NA,02080205001583,Chesterfield,1.63,0.02
390 (Lake/Pond),39004,Perennial,61496601,NA,NA,2002-11-15T00:00:00Z,NA,02080207008914,Chesterfield,1.63,0.02
390 (Lake/Pond),39004,Perennial,62589636,NA,NA,2002-11-27T00:00:00Z,NA,02080205001596,Chesterfield,1.63,0.02
390 (Lake/Pond),39009,Perennial; Average Water Elevation,135652712,NA,NA,2005-05-17T10:43:28Z,43.6,02080206014820,Henrico,1.62,0.02
390 (Lake/Pond),39004,Perennial,135652536,NA,NA,2005-05-17T10:39:11Z,NA,02080206014686,Henrico,1.62,0.02
390 (Lake/Pond),39004,Perennial,{8206D0D6-8EB4-4216-A4BF-370CB5F7F71E},NA,NA,2012-07-25T00:00:00Z,NA,02080206016658,Henrico,1.61,0.02
390 (Lake/Pond),39004,Perennial,135653273,NA,NA,2005-05-17T10:57:05Z,NA,02080206015273,Henrico,1.6,0.02
390 (Lake/Pond),39004,Perennial,135653445,NA,NA,2005-05-17T11:01:11Z,NA,02080206015400,Chesterfield,1.6,0.02
390 (Lake/Pond),39004,Perennial,135653304,NA,NA,2005-05-17T10:57:51Z,NA,02080206015295,Chesterfield,1.58,0.02
390 (Lake/Pond),39004,Perennial,135652684,NA,NA,2005-05-17T10:42:49Z,NA,02080206014799,Henrico,1.57,0.02
390 (Lake/Pond),39004,Perennial,61496773,Gills Pond,01467101,2002-11-15T00:00:00Z,NA,02080207008990,Chesterfield,1.57,0.02
390 (Lake/Pond),39004,Perennial,61495907,Ruffins Pond,01473622,2002-11-15T00:00:00Z,NA,02080207008626,Chesterfield,1.55,0.02
390 (Lake/Pond),39004,Perennial,{8B82CF92-88E5-4ADC-9FAD-9CD89882EC3E},NA,NA,2012-10-16T00:00:00Z,NA,02080207113152,Chesterfield,1.55,0.02
390 (Lake/Pond),39004,Perennial,61496763,NA,NA,2002-11-15T00:00:00Z,NA,02080207008984,Chesterfield,1.54,0.01
390 (Lake/Pond),39004,Perennial,{D4990D0A-B3DD-4099-A6E0-419B7C11FF7A},NA,NA,2012-07-25T00:00:00Z,NA,02080206016863,Henrico,1.52,0.02
390 (Lake/Pond),39004,Perennial,{266AF1CA-15F0-4BAA-8EA2-8DF10AB4987C},NA,NA,2012-07-25T00:00:00Z,NA,02080206016712,Chesterfield,1.51,0.02
390 (Lake/Pond),39004,Perennial,62589424,NA,NA,2002-11-27T00:00:00Z,NA,02080205005246,Richmond City,1.51,0.01
